"","ID","solidarity_behaviour","solidarity_attitude","treatment_video","c_0031_w1","c_0031_w2","c_0031_w3","c_0032_w1","c_0032_w2","vignette3","vignette4","vignette5","vignette6","vignette1","vignette2","vignette3_w4","vignette4_w4","conjoint_choice1_exp3","conjoint_rating1_exp3","conjoint_rating2_exp3","conjoint_choice2_exp3","conjoint_rating3_exp3","conjoint_rating4_exp3","conjoint_choice3_exp3","conjoint_rating5_exp3","conjoint_rating6_exp3","conjoint_choice1_exp7","conjoint_rating1_exp7","conjoint_rating2_exp7","conjoint_choice2_exp7","conjoint_rating3_exp7","conjoint_rating4_exp7"
"63",5290651916640,0,0,1,NA,33,NA,NA,67,91,18,178,116,NA,NA,NA,NA,1,0,0,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"64",5290724434140,0.8,0,0,NA,28,NA,NA,52,46,101,132,97,NA,NA,NA,NA,2,4,6,1,8,3,1,7,2,NA,NA,NA,NA,NA,NA
"65",5290754759640,0.2,0,0,NA,146,NA,NA,183,80,8,95,192,NA,NA,NA,NA,1,7,2,2,4,8,1,7,3,NA,NA,NA,NA,NA,NA
"66",5290814039400,1,1,1,NA,168,NA,NA,130,172,65,80,41,NA,NA,NA,NA,2,5,8,2,6,7,1,7,6,NA,NA,NA,NA,NA,NA
"67",5290852355010,0,0,1,NA,136,NA,NA,150,148,20,164,26,NA,NA,NA,NA,2,2,6,2,2,5,2,2,5,NA,NA,NA,NA,NA,NA
"68",5290890512400,1,0,0,NA,25,NA,NA,116,62,97,87,42,NA,NA,NA,NA,1,5,5,1,5,5,1,6,5,NA,NA,NA,NA,NA,NA
"69",5290911727065,0.4,1,1,NA,144,NA,NA,103,44,92,93,177,NA,NA,NA,NA,1,10,5,1,10,5,1,10,5,NA,NA,NA,NA,NA,NA
"70",5291110701900,0.4,0,0,NA,13,NA,NA,73,26,51,118,137,NA,NA,NA,NA,1,10,5,1,10,0,1,10,0,NA,NA,NA,NA,NA,NA
"71",5291116028640,0,0,0,NA,174,NA,NA,135,66,41,125,64,NA,NA,NA,NA,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"72",5291123900085,1,0,0,NA,3,NA,NA,69,98,125,34,14,NA,NA,NA,NA,2,3,8,2,8,3,1,8,3,NA,NA,NA,NA,NA,NA
